Category,Subcategory,Product Title,Price,Rating,Reviews,Product URL
Electronics,LAPTOP,"Cable World® Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool",699,3.8,2,https://www.amazon.in/Cable-Educational-Laptop-Computer-Kids/dp/B0FFYH9N2K/ref=sr_1_19
Electronics,LAPTOP,Ultimus APEX Pro Intel Pentium Quad Core Laptop 4GB RAM 128GB eMMC SSD Expandable~512GB Ultra Thin Bezel 180° Hinge 2.0x1 3.0x1 USB HDMI SD Card Slot ‎LPDDR4 Dual Speaker Win11 Home Cloud Silver 1.2Kg,12490,4.0,,https://www.amazon.in/Ultimus-Pentium-Expandable-512GB-%E2%80%8ELPDDR4-Speaker/dp/B0FKM5KW4R/ref=sr_1_20
Electronics,MOBILE PHONE,"Redmi 13 5G Prime Edition, Black Diamond, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",11199,4.1,5,https://www.amazon.in/Redmi-Diamond-Largest-Display-Segment/dp/B0D78Y577J/ref=sr_1_3
Electronics,MOBILE PHONE,"POCO M7 5G, Ocean Blue (6GB, 128GB)",8498,4.1,5,https://www.amazon.in/POCO-Ocean-Blue-6GB-128GB/dp/B0F135PGDX/ref=sr_1_4
Electronics,MOBILE PHONE,"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger",8999,3.9,5,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX5R87P8/ref=sr_1_5
Electronics,MOBILE PHONE,"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)",33999,4.3,5,https://www.amazon.in/Samsung-Galaxy-Smartphone-Graphite-Storage/dp/B0DHL7YT5S/ref=sr_1_6
Electronics,MOBILE PHONE,Redmi A5 Just Black (3GB RAM 64GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothest 120Hz Display | 5200mAh Large Battery | Expandable Storage up to 2TB,6288,3.8,1,https://www.amazon.in/Redmi-Storage-Segments-Smoothest-Expandable/dp/B0F3P2ZL2X/ref=sr_1_7
Electronics,MOBILE PHONE,Redmi A3X Ocean Green 4GB RAM 128GB ROM,6779.,4.0,500,https://www.amazon.in/Redmi-Storage-Premium-Powerful-Processor/dp/B0D78VJQ93/ref=sr_1_8
Electronics,MOBILE PHONE,"(Refurbished) Oppo F31 Pro 5G (Space Grey, 8GB RAM, 256GB Storage)",24648,,,https://www.amazon.in/Refurbished-Oppo-Space-256GB-Storage/dp/B0FW4RP2G5/ref=sr_1_9
Electronics,MOBILE PHONE,"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 128GB Storage) Without Offer",17999,4.2,3,https://www.amazon.in/samsung-Galaxy-Awesome-Storage-Without/dp/B0CXMD9YX5/ref=sr_1_10
Electronics,MOBILE PHONE,XIAOMI 14 Civi Aqua Blue (12GB RAM 512GB Storage) | 50 MP Leica Triple Camera| SD 8s Gen 3 | 1.5K Quad Curved AMOLED HyperOS,29249,4.1,500,https://www.amazon.in/Xiaomi-Storage-Triple-Camera-HyperOS/dp/B0DW8DHZTM/ref=sr_1_13
Electronics,MOBILE PHONE,"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",11199,4.1,5,https://www.amazon.in/Redmi-Orchid-Largest-Display-Segment/dp/B0D78X5CMJ/ref=sr_1_14
Electronics,MOBILE PHONE,"Motorola G05 4G (Forest Green, 4+64)",7480,4.0,1,https://www.amazon.in/Motorola-Forest-Green-64GB-Storage/dp/B0DSTLPR3C/ref=sr_1_15
Electronics,MOBILE PHONE,"Motorola g45 5G (Pantone Moss, 128 GB) (8 GB RAM)",12290,4.0,2,https://www.amazon.in/Motorola-g45-Pantone-Moss-128/dp/B0FL21SZXQ/ref=sr_1_16
Electronics,MOBILE PHONE,"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",8349,4.0,5,https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0DLW4QD72/ref=sr_1_17
Electronics,MOBILE PHONE,Nothing Phone (3a) 5G (8GB RAM + 128GB Storage) (White),22668,4.4,1,https://www.amazon.in/Nothing-Phone-128GB-Storage-White/dp/B0DZTMFWDB/ref=sr_1_18
Electronics,MOBILE PHONE,"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger",18499,4.2,3,https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D7Z8FJZ9/ref=sr_1_19
Electronics,MOBILE PHONE,"realme NARZO 80 Lite 4G (Obsidian Black, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist",6798,4.2,5,https://www.amazon.in/realme-Obsidian-6300mAh-Segments-Biggest/dp/B0FG2LPC6K/ref=sr_1_20
